title,price,manufacturer,inStock,mainImage,description,slug,categoryId
Lenovo ThinkPad X1 Carbon,1599.99,Lenovo,22,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500,"Ultra-light business laptop with Intel Core i7, military-grade durability and all-day battery.",lenovo-thinkpad-x1-carbon,laptops
HP Spectre x360 14,1499.99,HP,20,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=500,"2-in-1 convertible with OLED display, Intel Core i7, premium gem-cut design and stylus support.",hp-spectre-x360-14,laptops
ASUS ROG Zephyrus G14,1699.99,ASUS,12,https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=500,"Gaming laptop with AMD Ryzen 9, RTX 4060, 165Hz display and compact 14-inch form factor.",asus-rog-zephyrus-g14,laptops
Microsoft Surface Laptop 5,1299.99,Microsoft,16,https://images.unsplash.com/photo-1484788984921-03950022c9ef?w=500,"Sleek 13.5-inch touchscreen laptop with Intel Core i7, Alcantara keyboard and Windows Hello.",microsoft-surface-laptop-5,laptops
Acer Swift X 14,999.99,Acer,25,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=500,"Thin and light laptop with Intel Core i7, RTX 3050, 2.8K OLED display and 18-hour battery.",acer-swift-x-14,laptops
Sony WH-1000XM5,399.99,Sony,50,https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=500,"Industry-leading noise cancellation, 30-hour battery, multipoint connection and premium sound.",sony-wh-1000xm5,audio
Apple AirPods Pro 2nd Gen,249.99,Apple,75,https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?w=500,"Active noise cancellation, Adaptive Transparency, Personalized Spatial Audio with H2 chip.",apple-airpods-pro-2,audio
Bose QuietComfort 45,329.99,Bose,40,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,World-class noise cancellation with TriPort acoustic architecture and 24-hour battery life.,bose-quietcomfort-45,audio
Samsung Galaxy Buds2 Pro,229.99,Samsung,55,https://images.unsplash.com/photo-1572536147248-ac59a8abfa4b?w=500,"Hi-Fi 24-bit audio, intelligent ANC, 360 Audio and ergonomic design for all-day comfort.",samsung-galaxy-buds2-pro,audio
JBL Tune 770NC,149.99,JBL,65,https://images.unsplash.com/photo-1484704849700-f032a568e944?w=500,"Adaptive Noise Cancelling, JBL Pure Bass Sound, 70-hour battery and foldable design.",jbl-tune-770nc,audio
Sennheiser Momentum 4,349.99,Sennheiser,30,https://images.unsplash.com/photo-1558756520-22cfe5d382ca?w=500,"60-hour battery, adaptive noise cancellation, crystal-clear calls and audiophile-grade sound.",sennheiser-momentum-4,audio
Apple iPad Pro 12.9-inch M2,1099.99,Apple,20,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=500,"Stunning Liquid Retina XDR display, M2 chip, Apple Pencil support and up to 16GB RAM.",apple-ipad-pro-12-9-m2,tablets
Samsung Galaxy Tab S9 Ultra,1199.99,Samsung,15,https://images.unsplash.com/photo-1632516643720-e7f5d7d6ecc9?w=500,"14.6-inch Dynamic AMOLED 2X display, Snapdragon 8 Gen 2, S Pen included and IP68 rating.",samsung-galaxy-tab-s9-ultra,tablets
Microsoft Surface Pro 9,999.99,Microsoft,18,https://images.unsplash.com/photo-1561154464-82e9adf32764?w=500,"2-in-1 tablet with Intel Core i5, detachable keyboard, 13-inch PixelSense Flow display.",microsoft-surface-pro-9,tablets
Lenovo Tab P12 Pro,699.99,Lenovo,22,https://images.unsplash.com/photo-1585792180666-f7347c490ee2?w=500,"12.6-inch Super AMOLED display, Snapdragon 870, quad speakers and productivity mode.",lenovo-tab-p12-pro,tablets
Amazon Fire HD 10 Plus,179.99,Amazon,80,https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?w=500,"10.1-inch Full HD display, octa-core processor, wireless charging and 12-hour battery.",amazon-fire-hd-10-plus,tablets
Apple Watch Series 9,399.99,Apple,45,https://images.unsplash.com/photo-1551816230-ef5deaed4a26?w=500,"S9 chip, Double Tap gesture, Always-On Retina display and advanced health sensors.",apple-watch-series-9,smartwatches
Samsung Galaxy Watch 6 Classic,349.99,Samsung,35,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,"Iconic rotating bezel, advanced health tracking, BioActive sensor and sapphire crystal glass.",samsung-galaxy-watch-6-classic,smartwatches
Garmin Fenix 7X Solar,899.99,Garmin,15,https://images.unsplash.com/photo-1508057198894-247b23fe5ade?w=500,"Multi-sport GPS watch with solar charging, 28-day battery life and military standard toughness.",garmin-fenix-7x-solar,smartwatches
Fitbit Sense 2,249.99,Fitbit,40,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=500,"Advanced health smartwatch with EDA sensor, skin temperature, ECG and Google Assistant.",fitbit-sense-2,smartwatches
Huawei Watch GT 4,299.99,Huawei,28,https://images.unsplash.com/photo-1434494878577-86c23bcb06b9?w=500,"14-day battery, precise health monitoring, 100+ workout modes and stainless steel design.",huawei-watch-gt-4,smartwatches
Sony Alpha A7R V,3899.99,Sony,8,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=500,"61MP full-frame sensor, AI-based autofocus, 8K video recording and in-body stabilization.",sony-alpha-a7r-v,cameras
Canon EOS R5,3799.99,Canon,10,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=500,"45MP mirrorless with 8K RAW video, Dual Pixel CMOS AF II and 20fps continuous shooting.",canon-eos-r5,cameras
Nikon Z8,3999.99,Nikon,7,https://images.unsplash.com/photo-1581591524425-c7e0978865fc?w=500,"45.7MP stacked BSI sensor, 8K 60p video, compact Z9 performance in a smaller body.",nikon-z8,cameras
GoPro Hero 12 Black,399.99,GoPro,50,https://images.unsplash.com/photo-1564466809058-bf4114d55352?w=500,"5.3K60 video, HyperSmooth 6.0, HDR video and up to 27MP photos, waterproof to 10m.",gopro-hero-12-black,cameras
DJI Osmo Pocket 3,519.99,DJI,30,https://images.unsplash.com/photo-1473968512647-3e447244af8f?w=500,"1-inch CMOS sensor, 4K 120fps, 3-axis mechanical stabilization and rotating touchscreen.",dji-osmo-pocket-3,cameras
PlayStation 5,499.99,Sony,20,https://images.unsplash.com/photo-1606813907291-d86efa9b94db?w=500,"Next-gen gaming with custom SSD, ray tracing, 4K 120fps and DualSense haptic feedback controller.",playstation-5,gaming
Xbox Series X,499.99,Microsoft,22,https://images.unsplash.com/photo-1621259182978-fbf93132d53d?w=500,"12 teraflops of power, 4K gaming at 60fps, Quick Resume and Xbox Game Pass ready.",xbox-series-x,gaming
Nintendo Switch OLED,349.99,Nintendo,35,https://images.unsplash.com/photo-1578303512597-81e6cc155b3e?w=500,"Vibrant 7-inch OLED screen, enhanced audio, 64GB storage and wide adjustable stand.",nintendo-switch-oled,gaming
ASUS ROG Ally,699.99,ASUS,18,https://images.unsplash.com/photo-1493711662062-fa541adb3fc8?w=500,"Handheld Windows gaming PC with AMD Z1 Extreme, 7-inch 120Hz display and 40Whr battery.",asus-rog-ally,gaming
SteelSeries Arctis Nova Pro,349.99,SteelSeries,30,https://images.unsplash.com/photo-1599669454699-248893623440?w=500,"Multi-system noise cancellation, dual wireless, hot-swap battery and Hi-Res audio certified.",steelseries-arctis-nova-pro,gaming
Samsung 65-inch QLED 4K Q80C,1299.99,Samsung,10,https://images.unsplash.com/photo-1593359677879-a4bb92f829e1?w=500,"Quantum Dot technology, 120Hz panel, Motion Xcelerator Turbo+ and Tizen smart OS.",samsung-65-qled-4k-q80c,tvs
LG C3 55-inch OLED TV,1499.99,LG,8,https://images.unsplash.com/photo-1567690187548-f07b1d7bf5a9?w=500,"Evo panel, self-lit pixels, Dolby Vision IQ, G-Sync compatible and webOS smart platform.",lg-c3-55-oled-tv,tvs
Dell UltraSharp 27 4K Monitor,699.99,Dell,20,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=500,"IPS Black panel, 3840x2160 4K resolution, USB-C 90W charging and factory color calibration.",dell-ultrasharp-27-4k,monitors
LG 27GP950-B 27-inch Gaming Monitor,799.99,LG,15,https://images.unsplash.com/photo-1585792180666-f7347c490ee2?w=500,"Nano IPS 4K 160Hz gaming monitor with HDMI 2.1, G-Sync compatible and HDR600 support.",lg-27gp950-gaming-monitor,monitors
Amazon Echo Show 10 3rd Gen,249.99,Amazon,40,https://images.unsplash.com/photo-1512446816042-444d641267d4?w=500,"10.1-inch HD screen, smart home hub, motion tracking, Alexa built-in and premium speakers.",amazon-echo-show-10,smarthome
Google Nest Hub Max,229.99,Google,35,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,"10-inch display, built-in camera for video calls, Google Assistant and Nest Cam features.",google-nest-hub-max,smarthome
Philips Hue Starter Kit,199.99,Philips,55,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=500,"4 smart color bulbs with Hue Bridge, 16M colors, works with Alexa, Google and Apple HomeKit.",philips-hue-starter-kit,smarthome
Ring Video Doorbell Pro 2,249.99,Ring,45,https://images.unsplash.com/photo-1558002038-1055907df827?w=500,"3D motion detection, bird's eye zone, 1536p HD+ video and dual-band Wi-Fi connectivity.",ring-video-doorbell-pro-2,smarthome
Anker PowerCore 26800mAh,79.99,Anker,100,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=500,"26800mAh portable charger with 3 USB ports, PowerIQ technology and dual input charging.",anker-powercore-26800,accessories
